nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2022-09-20 18:14:11.654129: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
current logging run number for gym_cancer:CancerControl-v0 :  0
save checkpoint path : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011_1_20220920-1814-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 1
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  1000  decay ratio :  0.8
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
The local computer has : 24 cores
============================================================================================
Started training at (GMT) :  2022-09-20 18:14:19
============================================================================================
Updates : 0 		 SurvivalMonths : 14.0 		 Average Reward : -1.26
--------------------------------------------------------------------------------------------
saving model at : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/final/patient011_1_20220920-1814-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:07
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 68.0 		 Average Reward : -29787.67
Updates : 4 		 SurvivalMonths : 66.0 		 Average Reward : -22861.55
Updates : 6 		 SurvivalMonths : 19.0 		 Average Reward : 6.32
Updates : 8 		 SurvivalMonths : 48.0 		 Average Reward : -191.16
Updates : 10 		 SurvivalMonths : 11.0 		 Average Reward : -1.94
Updates : 12 		 SurvivalMonths : 9.0 		 Average Reward : 6.43
Updates : 14 		 SurvivalMonths : 5.0 		 Average Reward : -1.48
Updates : 16 		 SurvivalMonths : 7.0 		 Average Reward : -0.73
Updates : 18 		 SurvivalMonths : 17.0 		 Average Reward : 51.32
Updates : 20 		 SurvivalMonths : 42.0 		 Average Reward : -630.4
Updates : 22 		 SurvivalMonths : 9.0 		 Average Reward : 5.47
Updates : 24 		 SurvivalMonths : 43.0 		 Average Reward : -785.95
Updates : 26 		 SurvivalMonths : 44.0 		 Average Reward : -931.13
Updates : 28 		 SurvivalMonths : 11.0 		 Average Reward : -0.97
Updates : 30 		 SurvivalMonths : 5.0 		 Average Reward : 0.93
/home/yitao/projects/PPOProstateCancer/codes/env/gym_cancer/envs/cancercontrol.py:265: RuntimeWarning: invalid value encountered in power
  dxdt = np.multiply(r * x, (1 - (x @ self.A / self.K) ** phi - drug @ Beta))
Updates : 32 		 SurvivalMonths : 4.0 		 Average Reward : 1.04
Updates : 34 		 SurvivalMonths : 10.0 		 Average Reward : 1.24
Updates : 36 		 SurvivalMonths : 6.0 		 Average Reward : 2.1
Updates : 38 		 SurvivalMonths : 3.0 		 Average Reward : 0.22
Updates : 40 		 SurvivalMonths : 14.0 		 Average Reward : -1.34
Updates : 42 		 SurvivalMonths : 4.0 		 Average Reward : -0.16
Updates : 44 		 SurvivalMonths : 6.0 		 Average Reward : 2.01
Updates : 46 		 SurvivalMonths : 20.0 		 Average Reward : 50.66
Updates : 48 		 SurvivalMonths : 23.0 		 Average Reward : 41.94
Updates : 50 		 SurvivalMonths : 4.0 		 Average Reward : -0.74
Updates : 52 		 SurvivalMonths : 5.0 		 Average Reward : -0.21
Updates : 54 		 SurvivalMonths : 3.0 		 Average Reward : -2.13
Updates : 56 		 SurvivalMonths : 7.0 		 Average Reward : 1.67
Updates : 58 		 SurvivalMonths : 5.0 		 Average Reward : -2.09
Updates : 60 		 SurvivalMonths : 11.0 		 Average Reward : 12.07
Updates : 62 		 SurvivalMonths : 3.0 		 Average Reward : -0.14
Updates : 64 		 SurvivalMonths : 52.0 		 Average Reward : -3524.78
Updates : 66 		 SurvivalMonths : 7.0 		 Average Reward : 1.21
Updates : 68 		 SurvivalMonths : 7.0 		 Average Reward : -1.66
Updates : 70 		 SurvivalMonths : 43.0 		 Average Reward : -809.15
Updates : 72 		 SurvivalMonths : 4.0 		 Average Reward : -0.84
Updates : 74 		 SurvivalMonths : 12.0 		 Average Reward : -0.58
Updates : 76 		 SurvivalMonths : 9.0 		 Average Reward : 3.25
Updates : 78 		 SurvivalMonths : 22.0 		 Average Reward : 23.38
Updates : 80 		 SurvivalMonths : 19.0 		 Average Reward : 92.08
Updates : 82 		 SurvivalMonths : 34.0 		 Average Reward : -138.19
Updates : 84 		 SurvivalMonths : 10.0 		 Average Reward : 8.86
Updates : 86 		 SurvivalMonths : 7.0 		 Average Reward : 2.45
Updates : 88 		 SurvivalMonths : 108.0 		 Average Reward : -1357489.81
Updates : 90 		 SurvivalMonths : 8.0 		 Average Reward : 0.63
Updates : 92 		 SurvivalMonths : 7.0 		 Average Reward : -0.31
Updates : 94 		 SurvivalMonths : 17.0 		 Average Reward : -15.13
Updates : 96 		 SurvivalMonths : 4.0 		 Average Reward : -0.66
Updates : 98 		 SurvivalMonths : 8.0 		 Average Reward : 6.89
Updates : 100 		 SurvivalMonths : 108.0 		 Average Reward : -1968586.0
Updates : 102 		 SurvivalMonths : 6.0 		 Average Reward : 0.43
Updates : 104 		 SurvivalMonths : 9.0 		 Average Reward : 3.69
Updates : 106 		 SurvivalMonths : 5.0 		 Average Reward : -0.35
Updates : 108 		 SurvivalMonths : 30.0 		 Average Reward : 14.53
Updates : 110 		 SurvivalMonths : 14.0 		 Average Reward : 14.33
Updates : 112 		 SurvivalMonths : 6.0 		 Average Reward : 1.27
Updates : 114 		 SurvivalMonths : 6.0 		 Average Reward : 1.81
Updates : 116 		 SurvivalMonths : 11.0 		 Average Reward : 2.13
Updates : 118 		 SurvivalMonths : 18.0 		 Average Reward : 46.54
Updates : 120 		 SurvivalMonths : 13.0 		 Average Reward : 35.92
Updates : 122 		 SurvivalMonths : 3.0 		 Average Reward : -0.01
Updates : 124 		 SurvivalMonths : 8.0 		 Average Reward : 6.72
Updates : 126 		 SurvivalMonths : 7.0 		 Average Reward : 3.41
Updates : 128 		 SurvivalMonths : 7.0 		 Average Reward : -2.6
Updates : 130 		 SurvivalMonths : 17.0 		 Average Reward : 30.85
Updates : 132 		 SurvivalMonths : 108.0 		 Average Reward : -1231496.64
Updates : 134 		 SurvivalMonths : 108.0 		 Average Reward : -1694722.97
Updates : 136 		 SurvivalMonths : 5.0 		 Average Reward : 0.95
Updates : 138 		 SurvivalMonths : 83.0 		 Average Reward : -127718.18
Updates : 140 		 SurvivalMonths : 72.0 		 Average Reward : -32667.39
Updates : 142 		 SurvivalMonths : 17.0 		 Average Reward : 28.33
Updates : 144 		 SurvivalMonths : 3.0 		 Average Reward : -1.1
Updates : 146 		 SurvivalMonths : 11.0 		 Average Reward : 13.37
Updates : 148 		 SurvivalMonths : 50.0 		 Average Reward : -1601.04
Updates : 150 		 SurvivalMonths : 46.0 		 Average Reward : -750.43
Updates : 152 		 SurvivalMonths : 10.0 		 Average Reward : -1.15
Updates : 154 		 SurvivalMonths : 6.0 		 Average Reward : 2.77
Updates : 156 		 SurvivalMonths : 11.0 		 Average Reward : 12.17
Updates : 158 		 SurvivalMonths : 7.0 		 Average Reward : 1.06
Updates : 160 		 SurvivalMonths : 9.0 		 Average Reward : 5.06
Updates : 162 		 SurvivalMonths : 8.0 		 Average Reward : 8.38
Updates : 164 		 SurvivalMonths : 14.0 		 Average Reward : 12.36
Updates : 166 		 SurvivalMonths : 19.0 		 Average Reward : 10.9
Updates : 168 		 SurvivalMonths : 76.0 		 Average Reward : -54049.24
Updates : 170 		 SurvivalMonths : 70.0 		 Average Reward : -26207.38
Updates : 172 		 SurvivalMonths : 5.0 		 Average Reward : 0.74
Updates : 174 		 SurvivalMonths : 6.0 		 Average Reward : 1.38
Updates : 176 		 SurvivalMonths : 45.0 		 Average Reward : -594.95
Updates : 178 		 SurvivalMonths : 4.0 		 Average Reward : 0.25
Updates : 180 		 SurvivalMonths : 12.0 		 Average Reward : 10.09
Updates : 182 		 SurvivalMonths : 4.0 		 Average Reward : -1.2
Updates : 184 		 SurvivalMonths : 22.0 		 Average Reward : 37.43
Updates : 186 		 SurvivalMonths : 40.0 		 Average Reward : -113.73
Updates : 188 		 SurvivalMonths : 3.0 		 Average Reward : -0.72
Updates : 190 		 SurvivalMonths : 31.0 		 Average Reward : 205.63
Updates : 192 		 SurvivalMonths : 9.0 		 Average Reward : 7.5
Updates : 194 		 SurvivalMonths : 20.0 		 Average Reward : 74.02
Updates : 196 		 SurvivalMonths : 92.0 		 Average Reward : -303278.14
Updates : 198 		 SurvivalMonths : 3.0 		 Average Reward : -2.13
