nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2022-09-22 10:05:58.282899: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
current logging run number for gym_cancer:CancerControl-v0 :  0
save checkpoint path : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011_5_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 1
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  1000  decay ratio :  0.8
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
The local computer has : 24 cores
============================================================================================
Started training at (GMT) :  2022-09-22 10:06:04
============================================================================================
Updates : 0 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.52
--------------------------------------------------------------------------------------------
saving model at : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/final/patient011_5_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:10
--------------------------------------------------------------------------------------------
Updates : 2 		 Survival : 13.0  		 Treated : 0 		 Reward : 5.24
Updates : 4 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.49
Updates : 6 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.7
Updates : 8 		 Survival : 19.0  		 Treated : 0 		 Reward : 64.29
Updates : 10 		 Survival : 13.0  		 Treated : 0 		 Reward : 27.47
Updates : 12 		 Survival : 6.0  		 Treated : 0 		 Reward : -1.55
Updates : 14 		 Survival : 6.0  		 Treated : 0 		 Reward : -1.75
Updates : 16 		 Survival : 8.0  		 Treated : 0 		 Reward : 7.52
Updates : 18 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.21
Updates : 20 		 Survival : 63.0  		 Treated : 0 		 Reward : -868.02
Updates : 22 		 Survival : 49.0  		 Treated : 0 		 Reward : -802.79
Updates : 24 		 Survival : 32.0  		 Treated : 0 		 Reward : -60.78
Updates : 26 		 Survival : 10.0  		 Treated : 0 		 Reward : 2.84
Updates : 28 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.67
Updates : 30 		 Survival : 6.0  		 Treated : 0 		 Reward : -0.92
Updates : 32 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.94
Updates : 34 		 Survival : 6.0  		 Treated : 0 		 Reward : -1.14
