nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2022-09-22 10:05:58.465548: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
current logging run number for gym_cancer:CancerControl-v0 :  0
save checkpoint path : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011_8_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 1
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  1000  decay ratio :  0.8
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
The local computer has : 24 cores
============================================================================================
Started training at (GMT) :  2022-09-22 10:06:04
============================================================================================
Updates : 0 		 Survival : 20.0  		 Treated : 0 		 Reward : -36.49
--------------------------------------------------------------------------------------------
saving model at : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/final/patient011_8_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:07
--------------------------------------------------------------------------------------------
Updates : 2 		 Survival : 17.0  		 Treated : 0 		 Reward : -2.65
Updates : 4 		 Survival : 5.0  		 Treated : 0 		 Reward : -0.25
Updates : 6 		 Survival : 6.0  		 Treated : 0 		 Reward : 1.31
Updates : 8 		 Survival : 10.0  		 Treated : 0 		 Reward : 16.3
Updates : 10 		 Survival : 21.0  		 Treated : 0 		 Reward : 94.57
Updates : 12 		 Survival : 39.0  		 Treated : 0 		 Reward : -123.01
Updates : 14 		 Survival : 7.0  		 Treated : 0 		 Reward : 3.24
Updates : 16 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 18 		 Survival : 12.0  		 Treated : 0 		 Reward : 9.57
Updates : 20 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 22 		 Survival : 11.0  		 Treated : 0 		 Reward : 18.7
Updates : 24 		 Survival : 13.0  		 Treated : 0 		 Reward : -1.28
Updates : 26 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 28 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.34
Updates : 30 		 Survival : 7.0  		 Treated : 0 		 Reward : -0.78
Updates : 32 		 Survival : 22.0  		 Treated : 0 		 Reward : -15.21
Updates : 34 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.73
Updates : 36 		 Survival : 13.0  		 Treated : 0 		 Reward : 39.82
Updates : 38 		 Survival : 43.0  		 Treated : 0 		 Reward : 89.38
Updates : 40 		 Survival : 5.0  		 Treated : 0 		 Reward : 0.08
Updates : 42 		 Survival : 26.0  		 Treated : 0 		 Reward : 54.13
Updates : 44 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.74
Updates : 46 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
/home/yitao/projects/PPOProstateCancer/codes/env/gym_cancer/envs/cancercontrol.py:265: RuntimeWarning: invalid value encountered in power
  dxdt = np.multiply(r * x, (1 - (x @ self.A / self.K) ** phi - drug @ Beta))
Updates : 48 		 Survival : 6.0  		 Treated : 0 		 Reward : 0.78
Updates : 50 		 Survival : 10.0  		 Treated : 0 		 Reward : 0.17
Updates : 52 		 Survival : 73.0  		 Treated : 0 		 Reward : 753.44
Updates : 54 		 Survival : 67.0  		 Treated : 0 		 Reward : 1187.84
Updates : 56 		 Survival : 28.0  		 Treated : 0 		 Reward : 95.96
Updates : 58 		 Survival : 73.0  		 Treated : 0 		 Reward : 928.77
Updates : 60 		 Survival : 16.0  		 Treated : 0 		 Reward : -19.28
Updates : 62 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.07
Updates : 64 		 Survival : 22.0  		 Treated : 0 		 Reward : 59.12
Updates : 66 		 Survival : 8.0  		 Treated : 0 		 Reward : -3.12
Updates : 68 		 Survival : 35.0  		 Treated : 0 		 Reward : 193.09
Updates : 70 		 Survival : 8.0  		 Treated : 0 		 Reward : -1.74
Updates : 72 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.68
Updates : 74 		 Survival : 24.0  		 Treated : 0 		 Reward : 138.23
Updates : 76 		 Survival : 27.0  		 Treated : 0 		 Reward : 89.5
Updates : 78 		 Survival : 27.0  		 Treated : 0 		 Reward : 201.79
Updates : 80 		 Survival : 5.0  		 Treated : 0 		 Reward : 1.88
Updates : 82 		 Survival : 77.0  		 Treated : 0 		 Reward : 224.38
Updates : 84 		 Survival : 9.0  		 Treated : 0 		 Reward : 4.14
Updates : 86 		 Survival : 51.0  		 Treated : 0 		 Reward : -722.26
Updates : 88 		 Survival : 17.0  		 Treated : 0 		 Reward : 60.11
Updates : 90 		 Survival : 6.0  		 Treated : 0 		 Reward : -0.91
Updates : 92 		 Survival : 31.0  		 Treated : 0 		 Reward : 59.3
Updates : 94 		 Survival : 6.0  		 Treated : 0 		 Reward : 2.45
Updates : 96 		 Survival : 6.0  		 Treated : 0 		 Reward : -0.41
Updates : 98 		 Survival : 73.0  		 Treated : 0 		 Reward : 928.77
Updates : 100 		 Survival : 7.0  		 Treated : 0 		 Reward : 1.15
Updates : 102 		 Survival : 6.0  		 Treated : 0 		 Reward : 1.25
Updates : 104 		 Survival : 12.0  		 Treated : 0 		 Reward : 15.47
Updates : 106 		 Survival : 16.0  		 Treated : 0 		 Reward : 13.04
Updates : 108 		 Survival : 7.0  		 Treated : 0 		 Reward : 0.94
Updates : 110 		 Survival : 16.0  		 Treated : 0 		 Reward : 29.07
Updates : 112 		 Survival : 70.0  		 Treated : 0 		 Reward : 1317.21
Updates : 114 		 Survival : 8.0  		 Treated : 0 		 Reward : 3.73
Updates : 116 		 Survival : 6.0  		 Treated : 0 		 Reward : 0.72
Updates : 118 		 Survival : 8.0  		 Treated : 0 		 Reward : 2.8
Updates : 120 		 Survival : 28.0  		 Treated : 0 		 Reward : 199.18
Updates : 122 		 Survival : 21.0  		 Treated : 0 		 Reward : -53.92
Updates : 124 		 Survival : 19.0  		 Treated : 0 		 Reward : 62.89
Updates : 126 		 Survival : 73.0  		 Treated : 0 		 Reward : 928.77
Updates : 128 		 Survival : 5.0  		 Treated : 0 		 Reward : 1.41
Updates : 130 		 Survival : 48.0  		 Treated : 0 		 Reward : -87.21
Updates : 132 		 Survival : 77.0  		 Treated : 0 		 Reward : -336.88
Updates : 134 		 Survival : 13.0  		 Treated : 0 		 Reward : -8.66
Updates : 136 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.55
Updates : 138 		 Survival : 6.0  		 Treated : 0 		 Reward : 1.88
Updates : 140 		 Survival : 17.0  		 Treated : 0 		 Reward : 7.39
Updates : 142 		 Survival : 18.0  		 Treated : 0 		 Reward : 18.08
Updates : 144 		 Survival : 6.0  		 Treated : 0 		 Reward : 3.11
Updates : 146 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.19
Updates : 148 		 Survival : 7.0  		 Treated : 0 		 Reward : 2.4
Updates : 150 		 Survival : 10.0  		 Treated : 0 		 Reward : 16.01
Updates : 152 		 Survival : 30.0  		 Treated : 0 		 Reward : 103.81
Updates : 154 		 Survival : 70.0  		 Treated : 0 		 Reward : 1419.73
Updates : 156 		 Survival : 20.0  		 Treated : 0 		 Reward : 40.6
Updates : 158 		 Survival : 68.0  		 Treated : 0 		 Reward : 1129.3
Updates : 160 		 Survival : 6.0  		 Treated : 0 		 Reward : -1.67
Updates : 162 		 Survival : 78.0  		 Treated : 0 		 Reward : 713.79
Updates : 164 		 Survival : 13.0  		 Treated : 0 		 Reward : 19.95
Updates : 166 		 Survival : 7.0  		 Treated : 0 		 Reward : 2.15
Updates : 168 		 Survival : 5.0  		 Treated : 0 		 Reward : 1.32
Updates : 170 		 Survival : 75.0  		 Treated : 0 		 Reward : 411.07
Updates : 172 		 Survival : 3.0  		 Treated : 0 		 Reward : 0.05
Updates : 174 		 Survival : 18.0  		 Treated : 0 		 Reward : 22.8
Updates : 176 		 Survival : 15.0  		 Treated : 0 		 Reward : 29.28
Updates : 178 		 Survival : 24.0  		 Treated : 0 		 Reward : 58.72
Updates : 180 		 Survival : 8.0  		 Treated : 0 		 Reward : 8.49
Updates : 182 		 Survival : 6.0  		 Treated : 0 		 Reward : 4.74
Updates : 184 		 Survival : 10.0  		 Treated : 0 		 Reward : 18.34
Updates : 186 		 Survival : 66.0  		 Treated : 0 		 Reward : 1517.44
Updates : 188 		 Survival : 8.0  		 Treated : 0 		 Reward : 7.02
Updates : 190 		 Survival : 15.0  		 Treated : 0 		 Reward : 27.91
Updates : 192 		 Survival : 12.0  		 Treated : 0 		 Reward : 20.81
Updates : 194 		 Survival : 66.0  		 Treated : 0 		 Reward : 1388.37
Updates : 196 		 Survival : 14.0  		 Treated : 0 		 Reward : 23.57
Updates : 198 		 Survival : 71.0  		 Treated : 0 		 Reward : 1252.84
Updates : 200 		 Survival : 13.0  		 Treated : 0 		 Reward : 22.18
Updates : 202 		 Survival : 73.0  		 Treated : 0 		 Reward : 753.44
Updates : 204 		 Survival : 27.0  		 Treated : 0 		 Reward : 60.74
Updates : 206 		 Survival : 82.0  		 Treated : 0 		 Reward : 27.19
Updates : 208 		 Survival : 16.0  		 Treated : 0 		 Reward : 24.57
Updates : 210 		 Survival : 33.0  		 Treated : 0 		 Reward : 51.88
Updates : 212 		 Survival : 28.0  		 Treated : 0 		 Reward : 155.49
Updates : 214 		 Survival : 44.0  		 Treated : 0 		 Reward : 104.1
Updates : 216 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.46
Updates : 218 		 Survival : 50.0  		 Treated : 0 		 Reward : 362.65
Updates : 220 		 Survival : 8.0  		 Treated : 0 		 Reward : 7.74
Updates : 222 		 Survival : 34.0  		 Treated : 0 		 Reward : 138.73
Updates : 224 		 Survival : 74.0  		 Treated : 0 		 Reward : 958.12
Updates : 226 		 Survival : 12.0  		 Treated : 0 		 Reward : 14.04
Updates : 228 		 Survival : 72.0  		 Treated : 0 		 Reward : -3900.74
Updates : 230 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.61
Updates : 232 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.66
Updates : 234 		 Survival : 5.0  		 Treated : 0 		 Reward : -0.12
Updates : 236 		 Survival : 15.0  		 Treated : 0 		 Reward : 38.4
Updates : 238 		 Survival : 23.0  		 Treated : 0 		 Reward : 79.28
